site,year,num.rabbits,km,predCtrl,rabPerKm,logKm,area
Clifton Stn,2016,574,29,0,19.79310345,3.36729583,C2C
Haupouri Stn,2016,228,22,0,10.36363636,3.091042453,C2C
Okahu Stn,2016,11,17,1,0.647058824,2.833213344,C2C
Taurapa Stn,2016,116,33,1,3.515151515,3.496507561,C2C
Te Aratipi Stn,2016,16,22,1,0.727272727,3.091042453,C2C
Clifton Stn,2017,383,29,0,13.20689655,3.36729583,C2C
Haupouri Stn,2017,678,22,0,30.81818182,3.091042453,C2C
Okahu Stn,2017,23,17,1,1.352941176,2.833213344,C2C
Taurapa Stn,2017,126,33,1,3.818181818,3.496507561,C2C
Te Aratipi Stn,2017,12,22,1,0.545454545,3.091042453,C2C
Clifton Stn,2018,468,29,0,16.13793103,3.36729583,C2C
Haupouri Stn,2018,162,22,0,7.363636364,3.091042453,C2C
Okahu Stn,2018,14,17,1,0.823529412,2.833213344,C2C
Taurapa Stn,2018,136,33,1,4.121212121,3.496507561,C2C
Te Aratipi Stn,2018,16,22,1,0.727272727,3.091042453,C2C
Clifton Stn,2019,284,29,0,9.793103448,3.36729583,C2C
Haupouri Stn,2019,578,22,0,26.27272727,3.091042453,C2C
Okahu Stn,2019,33,17,1,1.941176471,2.833213344,C2C
Taurapa Stn,2019,186,33,1,5.636363636,3.496507561,C2C
Te Aratipi Stn,2019,34,22,1,1.545454545,3.091042453,C2C
Clifton Stn,2020,108,29,0,3.724137931,3.36729583,C2C
Haupouri Stn,2020,201,22,0,9.136363636,3.091042453,C2C
Okahu Stn,2020,14,17,1,0.823529412,2.833213344,C2C
Taurapa Stn,2020,54,33,1,1.636363636,3.496507561,C2C
Te Aratipi Stn,2020,51,22,1,2.318181818,3.091042453,C2C
Clifton Stn,2021,93,29,0,3.206896552,3.36729583,C2C
Haupouri Stn,2021,378,22,0,17.18181818,3.091042453,C2C
Okahu Stn,2021,16,17,1,0.941176471,2.833213344,C2C
Taurapa Stn,2021,77,33,1,2.333333333,3.496507561,C2C
Te Aratipi Stn,2021,28,22,1,1.272727273,3.091042453,C2C
Opouahi,2012,68,23,1,2.956521739,3.135494216,PAoT
Rangiora Trust,2012,74,27,1,2.740740741,3.295836866,PAoT
Riverlands,2012,16,19,0,0.842105263,2.944438979,PAoT
Tarawera Stn,2012,24,20,0,1.2,2.995732274,PAoT
Woodstock,2012,81,23,0,3.52173913,3.135494216,PAoT
Opouahi,2013,80,23,1,3.47826087,3.135494216,PAoT
Rangiora Trust,2013,58,27,1,2.148148148,3.295836866,PAoT
Riverlands,2013,3,19,0,0.157894737,2.944438979,PAoT
Tarawera Stn,2013,9,20,0,0.45,2.995732274,PAoT
Woodstock,2013,129,23,0,5.608695652,3.135494216,PAoT
Opouahi,2014,102,23,1,4.434782609,3.135494216,PAoT
Rangiora Trust,2014,98,27,1,3.62962963,3.295836866,PAoT
Riverlands,2014,6,19,0,0.315789474,2.944438979,PAoT
Tarawera Stn,2014,31,20,0,1.55,2.995732274,PAoT
Woodstock,2014,145,23,0,6.304347826,3.135494216,PAoT
Opouahi,2015,101,23,1,4.391304348,3.135494216,PAoT
Rangiora Trust,2015,259,27,1,9.592592593,3.295836866,PAoT
Riverlands,2015,11,19,0,0.578947368,2.944438979,PAoT
Tarawera Stn,2015,25,20,0,1.25,2.995732274,PAoT
Woodstock,2015,296,23,0,12.86956522,3.135494216,PAoT
Opouahi,2017,260,23,1,11.30434783,3.135494216,PAoT
Rangiora Trust,2017,178,27,1,6.592592593,3.295836866,PAoT
Riverlands,2017,8,19,0,0.421052632,2.944438979,PAoT
Tarawera Stn,2017,265,20,0,13.25,2.995732274,PAoT
Woodstock,2017,498,23,0,21.65217391,3.135494216,PAoT
Opouahi,2019,616,23,1,26.7826087,3.135494216,PAoT
Rangiora Trust,2019,540,27,1,20,3.295836866,PAoT
Riverlands,2019,14,19,0,0.736842105,2.944438979,PAoT
Tarawera Stn,2019,172,20,0,8.6,2.995732274,PAoT
Woodstock,2019,166,23,0,7.217391304,3.135494216,PAoT
Opouahi,2021,761,23,1,33.08695652,3.135494216,PAoT
Rangiora Trust,2021,1503,26,1,57.80769231,3.258096538,PAoT
Riverlands,2021,52,19,0,2.736842105,2.944438979,PAoT
Tarawera Stn,2021,108,20,0,5.4,2.995732274,PAoT
Woodstock,2021,86,23,0,3.739130435,3.135494216,PAoT
